"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Overhead Squat",0,"",0,"warmup",20,10,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Overhead Squat",0,"",1,"normal",30,1,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Overhead Squat",0,"",2,"normal",40,1,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Overhead Squat",0,"",3,"normal",40,1,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Overhead Squat",0,"",4,"normal",20,10,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Power Snatch",0,"",0,"normal",30,8,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Power Snatch",0,"",1,"normal",40,5,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Power Snatch",0,"",2,"normal",40,1,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Power Snatch",0,"",3,"normal",30,10,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Power Snatch",0,"",4,"normal",20,10,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Power Snatch",0,"",5,"normal",20,10,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Power Snatch",0,"",6,"normal",20,10,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Snatch",,"",0,"normal",20,10,,,
"Evening workout 🏋️","2 Mar 2026, 19:59","2 Mar 2026, 20:43","","Running",,"",0,"normal",,,1.5,540,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Power Snatch",,"",0,"normal",20,10,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Power Snatch",,"",1,"normal",20,10,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Power Clean",,"",0,"normal",30,5,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Snatch",,"",0,"normal",30,5,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Snatch",,"",1,"normal",30,5,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Snatch",,"",2,"normal",40,1,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Snatch",,"",3,"normal",40,1,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Snatch",,"",4,"normal",40,1,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Snatch",,"",5,"normal",40,1,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Snatch",,"",6,"normal",40,1,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Pull Up (Weighted)",,"Too much rest. Last set neutral grip",0,"warmup",,2,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Pull Up (Weighted)",,"Too much rest. Last set neutral grip",1,"warmup",,2,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Pull Up (Weighted)",,"Too much rest. Last set neutral grip",2,"normal",10,10,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Pull Up (Weighted)",,"Too much rest. Last set neutral grip",3,"normal",10,10,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Pull Up (Weighted)",,"Too much rest. Last set neutral grip",4,"normal",10,9,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Pull Up (Weighted)",,"Too much rest. Last set neutral grip",5,"normal",,11,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Overhead Squat",,"",0,"normal",50,1,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Extension (Barbell)",,"Ez bar",0,"warmup",20,18,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Extension (Barbell)",,"Ez bar",1,"normal",30,15,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Extension (Barbell)",,"Ez bar",2,"normal",30,15,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Pushdown",,"",0,"normal",55,10,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Pushdown",,"",1,"normal",60,10,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Pushdown",,"",2,"normal",65,10,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Pushdown",,"",3,"normal",70,4,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Triceps Pushdown",,"",4,"dropset",50,6,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Overhead Triceps Extension (Cable)",,"",0,"normal",40,12,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Overhead Triceps Extension (Cable)",,"",1,"normal",30,16,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",80,12,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",80,12,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",70,15,,,
"Afternoon workout 💪","1 Mar 2026, 16:55","1 Mar 2026, 18:49","","Seated Cable Row - V Grip (Cable)",,"",3,"dropset",50,5,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bench Press (Barbell)",,"",0,"warmup",20,20,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bench Press (Barbell)",,"",1,"warmup",40,10,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bench Press (Barbell)",,"",2,"warmup",60,4,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bench Press (Barbell)",,"",3,"warmup",80,1,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bench Press (Barbell)",,"",4,"normal",95,7,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bench Press (Barbell)",,"",5,"normal",92.5,7,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bench Press (Barbell)",,"",6,"normal",90,7,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Preacher Curl (Barbell)",,"",0,"warmup",20,15,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Preacher Curl (Barbell)",,"",1,"warmup",30,2,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Preacher Curl (Barbell)",,"",2,"normal",41,7,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Preacher Curl (Barbell)",,"",3,"normal",40,7,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Preacher Curl (Barbell)",,"",4,"normal",35,14,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Preacher Curl (Barbell)",,"",5,"normal",35,16,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Incline Bench Press (Barbell)",,"",0,"warmup",20,12,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Incline Bench Press (Barbell)",,"",1,"normal",70,7,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Incline Bench Press (Barbell)",,"",2,"normal",60,12,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Incline Bench Press (Barbell)",,"",3,"normal",60,9,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Incline Bench Press (Barbell)",,"",4,"normal",50,12,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Behind the Back Curl (Cable)",,"",0,"normal",46,15,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Behind the Back Curl (Cable)",,"",1,"normal",46,14,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Bicep Curl (Cable)",,"",0,"normal",59,9,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Ring Dips",,"",0,"normal",,6,,,
"Afternoon workout 💪","28 Feb 2026, 17:26","28 Feb 2026, 18:41","","Chest Dip",,"",0,"dropset",,4,,,
"Afternoon workout 💪","27 Feb 2026, 16:26","27 Feb 2026, 17:45","","Squat (Barbell)",0,"Weightlifting shoes",0,"warmup",20,20,,,
"Afternoon workout 💪","27 Feb 2026, 16:26","27 Feb 2026, 17:45","","Squat (Barbell)",0,"Weightlifting shoes",1,"warmup",40,8,,,
"Afternoon workout 💪","27 Feb 2026, 16:26","27 Feb 2026, 17:45","","Squat (Barbell)",0,"Weightlifting shoes",2,"warmup",80,2,,,
"Afternoon workout 💪","27 Feb 2026, 16:26","27 Feb 2026, 17:45","","Squat (Barbell)",0,"Weightlifting shoes",3,"normal",120,8,,,
"Afternoon workout 💪","27 Feb 2026, 16:26","27 Feb 2026, 17:45","","Squat (Barbell)",0,"Weightlifting shoes",4,"normal",120,7,,,
